Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000005463450_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.005463,2000.005533,0.016279,8,0,2343.0,"0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297,0.007663753805745297",0.007664,2.396369,2.396369,11,11
2000010932556_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.010933,2000.011183,0.017492,8,2,2343.0,"0.0053220512539897905,0.0053220512539897905,0.0053220512539897905,0.0053220512539897905,0.005676317853352623,0.005676317853352623,0.005676317853352623,0.005676317853352623",0.005499,1.664145,1.77492,11,11
2000016398958_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.016399,2000.016669,0.017979,8,3,2343.0,"0.008510450648255292,0.008510450648255292,0.008510450648255292,0.008510450648255292,0.009395614641632842,0.0053220512539897905,0.0064804869228192825,0.006299280324477296",0.007692,1.664145,1.969713,11,11
2000021862032_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.021862,2000.024469,0.021496,8,1,2343.0,"0.008046361403089982,0.00583219515707227,0.007683605247506666,0.0053220512539897905,0.0053220512539897905,0.0053220512539897905,0.005591651765369403,0.005677235511062345",0.0061,1.51086,1.775207,11,11
2000027323339_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.027323,2000.032938,0.023442,8,0,2343.0,"0.0070593473793009115,0.006306125141108773,0.00652032568845369,0.007221055785170185,0.005977945417924194,0.005581530444910338,0.005756081949702261,0.005802726609174272",0.006278,1.745281,1.814447,11,11
2000032787549_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.032788,2000.036969,0.024966,8,3,2343.0,"0.005613243361089158,0.008510450648255292,0.007536217500007501,0.007648381085759957,0.007683987026379002,0.0058885562097514225,0.0058237056008517895,0.005990283652036447",0.006837,1.755197,1.873094,11,11
2000038253191_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.038253,2000.045686,0.031824,8,4,2343.0,"0.006119151102556166,0.007809093248367654,0.007644170249551121,0.007716790003036608,0.008533295720812246,0.0053220512539897905,0.005523600082032623,0.0053220512539897905",0.006749,1.525492,1.664145,11,11
2000043719312_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.043719,2000.052037,0.045763,8,0,2343.0,"0.008887213239327781,0.005720799277514519,0.0053220512539897905,0.005875592815494218,0.0053220512539897905,0.0053220512539897905,0.005586502351591995,0.005568069725769537",0.005951,1.664145,1.741072,11,11
2000049182560_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.049183,2000.053907,0.044227,8,0,2343.0,"0.005934514464844589,0.0053220512539897905,0.006119151102556166,0.0053220512539897905,0.005676317853352623,0.005676317853352623,0.005676317853352623,0.005522533115852645",0.005656,1.664145,1.726833,11,11
2000054649841_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.05465,2000.060226,0.04953,8,3,2343.0,"0.0053220512539897905,0.0053220512539897905,0.0053220512539897905,0.006129838766963812,0.005741823518907809,0.005833516584174269,0.0056165878525663415,0.0056704223281995115",0.00562,1.03799,1.773077,11,11
2000060116286_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.060116,2000.064276,0.050482,8,3,2343.0,"0.0068999002992465785,0.007683605247506666,0.007536217500007501,0.0063431952397765235,0.0053220512539897905,0.0056704223281995115,0.0053220512539897905,0.005744291119681706",0.006315,1.664145,1.796175,11,11
2000065580836_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.065581,2000.072385,0.06049,8,5,2343.0,"0.0053220512539897905,0.005903098126232919,0.006371630806663957,0.007658755401967045,0.008273244289425111,0.005617147759934008,0.005585518110370738,0.005538408467136546",0.006284,1.664145,1.731797,11,11
2000071044325_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.071044,2000.076875,0.061633,8,0,2343.0,"0.007766510855474949,0.006371630806663957,0.0053220512539897905,0.0053220512539897905,0.005676317853352623,0.005715361344988404,0.005676317853352623,0.005676317853352623",0.005941,1.664145,1.77492,11,11
2000076508123_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2000.076508,2000.078905,0.065981,8,6,2343.0,"0.006306125141108773,0.00569269426974142,0.007658988343728637,0.007645829262935519,0.0080823265231249,0.0056704223281995115,0.0055384454896786825,0.005676097563914077",0.006534,1.731809,1.774851,11,11
