Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000065583120_Node0_Node8_Zero,2000.114372,2000.178803,1,RetryLimit,353,0,nan
2000073777920_Node0_Node8_Zero,2000.114372,2000.178803,1,RetryLimit,353,0,nan
2000081969728_Node0_Node8_Zero,2000.114372,2000.178803,1,RetryLimit,353,0,nan
2000090166820_Node0_Node8_Zero,2000.118362,2000.184782,0,,265,7.572525408e-13,0
2000098360287_Node0_Node8_Zero,2000.118362,2000.184782,0,,265,7.572525408e-13,0
2000106553385_Node0_Node8_Zero,2000.118362,2000.184782,0,,265,7.572525408e-13,0
2000114754675_Node0_Node8_Zero,2000.121112,2000.186832,0,,232,7.572525408e-13,0
2000122950989_Node0_Node8_Zero,2000.125809,2000.186832,0,,199,7.572525408e-13,0
2000131150863_Node0_Node8_Zero,2000.135186,2000.186832,0,,166,7.572525408e-13,0
2000139346319_Node0_Node8_Zero,2000.141955,2000.188702,0,,133,7.572525408e-13,0
2000147540617_Node0_Node8_Zero,2000.151969,2000.188702,0,,100,7.572525408e-13,0
2000155734147_Node0_Node8_Zero,2000.158443,2000.188702,0,,67,7.572525408e-13,0
2000163926463_Node0_Node8_Zero,2000.166496,2000.190632,0,,34,7.572525408e-13,0
2000172127820_Node0_Node8_Zero,2000.176376,2000.190632,0,,1,7.572525408e-13,0
2000180321523_Node0_Node8_Zero,2000.182831,2000.190632,0,,0,7.572525408e-13,0
2000188514081_Node0_Node8_Zero,2000.193194,2000.194125,0,,0,7.572525408e-13,0
2000196707566_Node0_Node8_Zero,2000.199317,2000.200248,0,,0,7.572525408e-13,0
2000204900347_Node0_Node8_Zero,2000.207689,2000.208761,0,,0,7.572525408e-13,0
2000213098094_Node0_Node8_Zero,2000.215927,2000.216778,0,,0,7.572525408e-13,0
2000221298198_Node0_Node8_Zero,2000.224087,2000.224959,0,,0,7.572525408e-13,0
2000229496049_Node0_Node8_Zero,2000.232145,2000.233256,0,,0,7.572525408e-13,0
2000237695123_Node0_Node8_Zero,2000.240444,2000.241395,0,,0,7.572525408e-13,0
2000245891266_Node0_Node8_Zero,2000.24836,2000.249392,0,,0,7.572525408e-13,0
2000254090662_Node0_Node8_Zero,2000.25658,2000.257631,0,,0,7.572525408e-13,0
2000262285759_Node0_Node8_Zero,2000.265155,2000.266226,0,,0,7.572525408e-13,0
2000270480569_Node0_Node8_Zero,2000.27311,2000.274101,0,,0,7.572525408e-13,0
2000278672526_Node0_Node8_Zero,2000.281242,2000.282053,0,,0,7.572525408e-13,0
2000286872071_Node0_Node8_Zero,2000.289561,2000.290552,0,,0,7.572525408e-13,0
2000295064961_Node0_Node8_Zero,2000.297694,2000.298685,0,,0,7.572525408e-13,0
2000303264046_Node0_Node8_Zero,2000.305733,2000.306644,0,,0,7.572525408e-13,0
2000311463217_Node0_Node8_Zero,2000.313952,2000.315004,0,,0,7.572525408e-13,0
2000319657958_Node0_Node8_Zero,2000.322587,2000.323398,0,,0,7.572525408e-13,0
2000327859326_Node0_Node8_Zero,2000.330488,2000.3316,0,,0,7.572525408e-13,0
